versus,R+,R-,p-value
ABC,0.0,3.0,1.5730e-01
BA,276.0,0.0,1.6200e-06
BBO,0.0,3.0,1.5730e-01
DO,136.0,0.0,6.3342e-05
FOX,2.0,4.0,5.6370e-01
GA,9.0,6.0,6.5472e-01
GWO,0.0,3.0,1.5730e-01
LSHADE,0.0,3.0,1.5730e-01
PSO,0.0,3.0,1.5730e-01
