Algorithm,Average ranking on functions
ABC,1.0 (1)
BBO,1.0 (1)
GWO,1.0 (1)
LSHADE,1.0 (1)
PSO,1.0 (1)
BA,10.0 (10)
FOX,6.0 (6)
IFOX,7.0 (7)
GA,8.0 (8)
DO,9.0 (9)
