versus,R+,R-,p-value
ABC,0.0,325.0,5.7330e-07
BBO,0.0,325.0,5.7330e-07
DO,32.0,88.0,7.0701e-02
FOX,0.0,300.0,9.6336e-07
GA,0.0,253.0,2.7265e-06
GWO,0.0,325.0,5.7330e-07
IFOX,0.0,276.0,1.6200e-06
LSHADE,0.0,325.0,5.7330e-07
PSO,0.0,325.0,5.7330e-07
