versus,R+,R-,p-value
ABC,0.0,6.0,8.3265e-02
BA,253.0,0.0,2.7265e-06
BBO,0.0,6.0,8.3265e-02
DO,144.0,9.0,2.7473e-04
FOX,2.5,7.5,3.1731e-01
GWO,0.0,6.0,8.3265e-02
IFOX,6.0,9.0,6.5472e-01
LSHADE,0.0,6.0,8.3265e-02
PSO,0.0,6.0,8.3265e-02
