versus,R+,R-,p-value
ABC,,,N/A
BA,300.0,0.0,9.6336e-07
BBO,,,N/A
DO,153.0,0.0,3.7380e-05
GA,7.5,2.5,3.1731e-01
GWO,,,N/A
IFOX,4.0,2.0,5.6370e-01
LSHADE,,,N/A
PSO,,,N/A
