Function,Metric,ABC,BA,BBO,DO,FOX,GA,GWO,IFOX,LSHADE,PSO
Best Path Problem,Avg,0.012766900260983097,0.0565141512825285,0.012766900260983097,0.0442649209964958,0.014516790301844914,0.018016570383568558,0.012766900260983097,0.016266680342706733,0.012766900260983097,0.012766900260983097
Best Path Problem,Std,1.7643790169011568e-18,0.019898823246833258,1.7643790169011568e-18,0.026157682464237036,0.009584542485336542,0.016018243722782006,1.7643790169011568e-18,0.013318839988553915,1.7643790169011568e-18,1.7643790169011568e-18
Best Path Problem,Best,0.0127669002609831,0.0127669002609831,0.0127669002609831,0.0127669002609831,0.0127669002609831,0.0127669002609831,0.0127669002609831,0.0127669002609831,0.0127669002609831,0.0127669002609831
Best Path Problem,Worst,0.0127669002609831,0.0652636014868376,0.0127669002609831,0.0652636014868376,0.0652636014868376,0.0652636014868376,0.0127669002609831,0.0652636014868376,0.0127669002609831,0.0127669002609831
Best Path Problem,BRT,'2/7/0,'0/1/8,'2/7/0,'0/1/8,'2/7/0,'2/7/0,'2/7/0,'2/7/0,'2/7/0,'2/7/0
Best Path Problem,Rank,1.0,10.0,1.0,9.0,6.0,8.0,1.0,7.0,1.0,1.0
Total,BRT,2/7/0,0/1/8,2/7/0,0/1/8,2/7/0,2/7/0,2/7/0,2/7/0,2/7/0,2/7/0
