versus,R+,R-,p-value
ABC,0.0,171.0,2.2090e-05
BA,88.0,32.0,7.0701e-02
BBO,0.0,171.0,2.2090e-05
FOX,0.0,153.0,3.7380e-05
GA,9.0,144.0,2.7473e-04
GWO,0.0,171.0,2.2090e-05
IFOX,0.0,136.0,6.3342e-05
LSHADE,0.0,171.0,2.2090e-05
PSO,0.0,171.0,2.2090e-05
