versus,R+,R-,p-value
ABC,,,N/A
BA,325.0,0.0,5.7330e-07
DO,171.0,0.0,2.2090e-05
FOX,,,N/A
GA,6.0,0.0,8.3265e-02
GWO,,,N/A
IFOX,3.0,0.0,1.5730e-01
LSHADE,,,N/A
PSO,,,N/A
