trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19,trial_20,trial_21,trial_22,trial_23,trial_24,trial_25,trial_26,trial_27,trial_28,trial_29,trial_30
9630740668.8559,10969999900.150003,10279999903.600004,7714999916.425002,11559999897.200003,9384999908.075005,9692380863.329481,9499230695.99497,7617820464.14627,10899565129.434122,8701428514.452042,9159999909.200003,10354655100.307583,9639999906.800003,6909655117.532581,9052380866.52948,9324655105.45758,10049655101.83258,9749655103.332582,9389999908.050003,9823333253.661114,9989565133.984123,10178333251.886112,10573333249.911112,9394655105.107582,11339999898.300003,10789655098.132582,9924999905.375004,10177820451.34627,8484655109.65758
9630740668.8559,10969999900.150003,10279999903.600004,7714999916.425002,9983333252.861113,9384999908.075005,9692380863.329481,9329999908.350004,7617820464.14627,10262380860.479483,8701428514.452042,9159999909.200003,9284655105.657581,9274090825.943598,6909655117.532581,9052380866.52948,9324655105.45758,10049655101.83258,9749655103.332582,9389999908.050003,9823333253.661114,9234655105.907581,9814999905.925003,9494999907.525003,9394655105.107582,11339999898.300003,10490740664.5559,9924999905.375004,9579999907.100002,8484655109.65758
9630740668.8559,10368333250.936113,10279999903.600004,7714999916.425002,9364999908.175003,9384999908.075005,9692380863.329481,9329999908.350004,7409655115.032581,10119999904.400003,8273235238.39161,9129999909.350002,8009999914.950003,9274090825.943598,6909655117.532581,9052380866.52948,9324655105.45758,9374999908.125004,9749655103.332582,8570740674.1559,9119999909.400003,9234655105.907581,9814999905.925003,9494999907.525003,8874565139.559124,10640740663.8059,10229999903.850004,9855740667.7309,9579999907.100002,8484655109.65758
9489999907.550005,8328333261.136112,10279999903.600004,7714999916.425002,9364999908.175003,8684999911.575003,8497380869.304481,8895161228.26093,7409655115.032581,10119999904.400003,8273235238.39161,9073333257.411112,8009999914.950003,9274090825.943598,6909655117.532581,9052380866.52948,9164655106.25758,9329090825.668598,9749655103.332582,8570740674.1559,9119999909.400003,9234655105.907581,7578333264.886113,9494999907.525003,8874565139.559124,9623333254.661112,10229999903.850004,9855740667.7309,9579999907.100002,7634999916.825003
6607820469.19627,8328333261.136112,10279999903.600004,7714999916.425002,9364999908.175003,8684999911.575003,8497380869.304481,8895161228.26093,7117820466.646269,10119999904.400003,7454999917.725002,9073333257.411112,8009999914.950003,8919999927.400003,6909655117.532581,8474999912.625004,9164655106.25758,8978333257.886114,8429999912.850002,8570740674.1559,9119999909.400003,9234655105.907581,7578333264.886113,9494999907.525003,7989999915.050002,8624999911.875004,10064999904.675003,9740740668.3059,9579999907.100002,7634999916.825003
6607820469.19627,8328333261.136112,9609999906.950003,7714999916.425002,9299999908.500004,8684999911.575003,8497380869.304481,8895161228.26093,7117820466.646269,10119999904.400003,7454999917.725002,9073333257.411112,7002820467.22127,8758333258.986113,6909655117.532581,8474999912.625004,9144655106.357582,8978333257.886114,8429999912.850002,8570740674.1559,9119999909.400003,9234655105.907581,7578333264.886113,8514999912.425003,7989999915.050002,8624999911.875004,8664999911.675001,8834285648.175512,9579999907.100002,7433235242.59161
6607820469.19627,8328333261.136112,8789999911.050003,7714999916.425002,9299999908.500004,8684999911.575003,8497380869.304481,8584655109.15758,7117820466.646269,8359999913.200003,7454999917.725002,9073333257.411112,6909655117.532581,8758333258.986113,6909655117.532581,8474999912.625004,9144655106.357582,8978333257.886114,8429999912.850002,8570740674.1559,9119999909.400003,9234655105.907581,7578333264.886113,8514999912.425003,7989999915.050002,8344999913.275003,8664999911.675001,8352820460.47127,7842820463.02127,7433235242.59161
6607820469.19627,8328333261.136112,8789999911.050003,7714999916.425002,8039999914.800003,8139999914.300002,7327820465.59627,7686428519.527041,6909655117.532581,8359999913.200003,7454999917.725002,9073333257.411112,6909655117.532581,7489999917.550002,6909655117.532581,8474999912.625004,8984655107.157583,8978333257.886114,8429999912.850002,7089999919.550002,7994999915.0250025,8727820458.59627,7558333264.986113,8514999912.425003,7989999915.050002,8344999913.275003,8664999911.675001,7932820462.57127,7842820463.02127,7177820466.34627
6607820469.19627,8064999914.675003,8789999911.050003,7714999916.425002,8039999914.800003,8139999914.300002,7327820465.59627,7686428519.527041,6909655117.532581,8359999913.200003,7454999917.725002,9073333257.411112,6909655117.532581,7489999917.550002,6909655117.532581,8423235237.641609,8984655107.157583,8108333262.236114,8429999912.850002,7089999919.550002,7858333263.486113,8727820458.59627,7558333264.986113,8514999912.425003,7522820464.62127,7578333264.886113,8664999911.675001,7932820462.57127,7842820463.02127,7177820466.34627
6607820469.19627,8064999914.675003,8216428516.877041,7714999916.425002,7494999917.5250025,8010161232.685927,7327820465.59627,7686428519.527041,6909655117.532581,8359999913.200003,7454999917.725002,9039285647.150513,6909655117.532581,7489999917.550002,6909655117.532581,8423235237.641609,8984655107.157583,8108333262.236114,8429999912.850002,7089999919.550002,7858333263.486113,8727820458.59627,7558333264.986113,8514999912.425003,7522820464.62127,7578333264.886113,8664999911.675001,7932820462.57127,7842820463.02127,7177820466.34627
