trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19,trial_20,trial_21,trial_22,trial_23,trial_24,trial_25,trial_26,trial_27,trial_28,trial_29,trial_30
8459999912.700003,8578333259.886113,9337380865.104483,9499999907.500004,9014999909.925003,8584999912.075002,10329999903.350004,7525161235.110927,10159999904.200003,8228235238.616609,10759999901.200005,8080161232.335927,10019999921.900002,9114999909.425003,8999655107.082582,9569090824.468597,9199999909.000002,7798235240.76661,9153333257.011112,8235161231.560926,9764999906.175003,10551060537.970135,9859999934.29375,8794999911.025003,10834999917.825,9494999907.525003,8556428515.177041,9738333254.086113,8117820461.64627,11004999899.975002
8459999912.700003,8578333259.886113,9337380865.104483,9499999907.500004,8780161228.835928,8584999912.075002,9984565134.009123,7525161235.110927,9744999906.275003,8228235238.616609,10069999904.650003,8080161232.335927,8434999912.825003,9114999909.425003,8999655107.082582,9569090824.468597,8603235236.74161,7798235240.76661,9153333257.011112,8235161231.560926,9754655103.30758,10214444385.717901,9859999934.29375,8794999911.025003,9876666598.394445,9494999907.525003,7448333265.536113,9738333254.086113,8117820461.64627,9349999908.250004
8459999912.700003,8578333259.886113,8220161231.635927,9428333255.636114,8760161228.935928,8584999912.075002,9984565134.009123,7525161235.110927,9698333254.286112,8228235238.616609,7569565146.084123,8080161232.335927,8434999912.825003,9114999909.425003,8999655107.082582,9557380864.00448,8603235236.74161,7798235240.76661,8143333262.061112,8235161231.560926,9754655103.30758,9814999905.925003,9859999934.29375,8519999912.400003,9876666598.394445,9494999907.525003,7448333265.536113,9379999908.100004,8117820461.64627,9344999908.275003
8459999912.700003,8578333259.886113,8220161231.635927,9428333255.636114,8590161229.785927,8474999912.625004,7794565144.959123,7525161235.110927,9383333255.861113,8228235238.616609,7569565146.084123,8080161232.335927,8434999912.825003,8764999911.175003,8999655107.082582,9344655105.357582,8603235236.74161,7798235240.76661,8143333262.061112,7754565145.159122,9404999907.975004,8397380869.804481,9309999908.450003,8519999912.400003,9876666598.394445,9494999907.525003,7448333265.536113,9379999908.100004,8117820461.64627,9344999908.275003
8459999912.700003,8578333259.886113,8220161231.635927,8404999912.975002,8590161229.785927,8474999912.625004,7669565145.584123,7525161235.110927,8693333259.311113,8228235238.616609,7569565146.084123,8080161232.335927,8434999912.825003,8764999911.175003,8999655107.082582,9344655105.357582,8603235236.74161,7798235240.76661,8143333262.061112,7057380876.50448,9389565136.984123,7877820462.84627,9309999908.450003,8519999912.400003,9854999905.725004,8464999912.675003,7448333265.536113,9304999908.475004,8117820461.64627,9344999908.275003
8459999912.700003,8578333259.886113,7862820462.921269,8404999912.975002,8590161229.785927,8474999912.625004,7669565145.584123,7525161235.110927,8693333259.311113,8228235238.616609,7569565146.084123,8080161232.335927,8397380869.804481,8594999912.025003,8999655107.082582,9009999909.950005,8603235236.74161,7798235240.76661,8143333262.061112,7057380876.50448,8484655109.65758,7877820462.84627,9309999908.450003,8519999912.400003,8839999910.800003,8464999912.675003,7448333265.536113,9304999908.475004,8117820461.64627,7934999915.325002
8459999912.700003,8578333259.886113,7862820462.921269,8404999912.975002,8590161229.785927,8474999912.625004,7669565145.584123,7525161235.110927,8693333259.311113,8206428516.927042,7569565146.084123,8080161232.335927,8397380869.804481,8594999912.025003,8874999910.625004,9009999909.950005,8603235236.74161,7798235240.76661,8143333262.061112,7057380876.50448,8484655109.65758,7877820462.84627,9309999908.450003,8519999912.400003,8839999910.800003,8464999912.675003,7448333265.536113,8559999912.200002,8117820461.64627,7934999915.325002
8459999912.700003,8578333259.886113,7862820462.921269,8404999912.975002,8590161229.785927,8474999912.625004,7669565145.584123,7525161235.110927,8693333259.311113,8206428516.927042,7569565146.084123,8080161232.335927,8397380869.804481,8594999912.025003,8032820462.071269,9009999909.950005,8603235236.74161,7798235240.76661,8143333262.061112,7057380876.50448,8484655109.65758,7877820462.84627,8529999912.350003,8519999912.400003,8794999911.025003,8464999912.675003,7311428521.4020405,7957820462.44627,8117820461.64627,7934999915.325002
8459999912.700003,8578333259.886113,7862820462.921269,7649655113.8325815,8590161229.785927,8239999913.800002,7669565145.584123,7525161235.110927,8693333259.311113,8206428516.927042,7569565146.084123,8080161232.335927,8397380869.804481,8594999912.025003,8032820462.071269,8913333258.211113,8603235236.74161,7798235240.76661,8143333262.061112,6986428523.027042,8484655109.65758,7532820464.57127,8529999912.350003,8519999912.400003,8794999911.025003,8464999912.675003,7311428521.4020405,7957820462.44627,8117820461.64627,7934999915.325002
8459999912.700003,8578333259.886113,7862820462.921269,7649655113.8325815,8590161229.785927,8239999913.800002,7669565145.584123,7525161235.110927,8693333259.311113,7739999916.300002,7569565146.084123,8080161232.335927,8397380869.804481,8594999912.025003,7879565144.534122,8913333258.211113,8319999913.400002,7798235240.76661,8112820461.671269,6986428523.027042,8484655109.65758,7532820464.57127,8529999912.350003,8519999912.400003,8794999911.025003,8464999912.675003,7311428521.4020405,7957820462.44627,8117820461.64627,7934999915.325002
