versus,R+,R-,p-value
BA,465.0,0.0,1.8626e-09
BBO,217.0,83.0,5.5534e-02
DO,462.0,3.0,9.3132e-09
FOX,454.0,11.0,1.0245e-07
GA,131.5,168.5,5.9675e-01
GWO,298.0,167.0,1.7783e-01
IFOX,256.5,149.5,2.2297e-01
LSHADE,23.0,277.0,2.7511e-04
PSO,242.0,193.0,5.9586e-01
