versus,R+,R-,p-value
ABC,83.0,217.0,5.5534e-02
BA,465.0,0.0,1.8626e-09
DO,441.0,24.0,1.4193e-06
FOX,401.0,34.0,7.2522e-05
GA,96.5,179.5,2.0674e-01
GWO,243.0,192.0,5.8131e-01
IFOX,202.5,203.5,9.9091e-01
LSHADE,30.5,245.5,1.0655e-03
PSO,143.0,235.0,2.6868e-01
