Algorithm,Average ranking on functions
LSHADE,1.0 (1)
BA,10.0 (10)
ABC,2.0 (2)
GA,3.0 (3)
PSO,4.0 (4)
BBO,5.0 (5)
IFOX,6.0 (6)
GWO,7.0 (7)
FOX,8.0 (8)
DO,9.0 (9)
