versus,R+,R-,p-value
ABC,149.5,256.5,2.2297e-01
BA,465.0,0.0,1.8626e-09
BBO,203.5,202.5,9.9091e-01
DO,421.0,14.0,1.0809e-05
FOX,421.5,43.5,1.0127e-04
GA,91.5,184.5,1.5677e-01
GWO,195.0,183.0,8.8536e-01
LSHADE,22.0,231.0,6.6763e-04
PSO,115.5,160.5,4.9361e-01
