versus,R+,R-,p-value
ABC,11.0,454.0,1.0245e-07
BA,465.0,0.0,1.8626e-09
BBO,34.0,401.0,7.2522e-05
DO,327.0,138.0,5.2263e-02
GA,15.0,450.0,2.5518e-07
GWO,45.5,419.5,1.1988e-04
IFOX,43.5,421.5,1.0127e-04
LSHADE,9.0,456.0,4.2832e-06
PSO,23.0,442.0,1.1921e-06
