versus,R+,R-,p-value
ABC,167.0,298.0,1.7783e-01
BA,465.0,0.0,1.8626e-09
BBO,192.0,243.0,5.8131e-01
DO,422.0,13.0,9.7817e-06
FOX,419.5,45.5,1.1988e-04
GA,109.0,216.0,1.4989e-01
IFOX,183.0,195.0,8.8536e-01
LSHADE,33.0,292.0,4.8997e-04
PSO,194.5,270.5,4.3434e-01
