versus,R+,R-,p-value
ABC,277.0,23.0,2.7511e-04
BA,465.0,0.0,1.8626e-09
BBO,245.5,30.5,1.0655e-03
DO,435.0,0.0,2.5631e-06
FOX,456.0,9.0,4.2832e-06
GA,104.0,16.0,1.1823e-02
GWO,292.0,33.0,4.8997e-04
IFOX,231.0,22.0,6.6763e-04
PSO,180.0,30.0,4.8936e-03
