versus,R+,R-,p-value
ABC,193.0,242.0,5.9586e-01
BA,465.0,0.0,1.8626e-09
BBO,235.0,143.0,2.6868e-01
DO,453.0,12.0,1.3039e-07
FOX,442.0,23.0,1.1921e-06
GA,113.0,163.0,4.4606e-01
GWO,270.5,194.5,4.3434e-01
IFOX,160.5,115.5,4.9361e-01
LSHADE,30.0,180.0,4.8936e-03
