versus,R+,R-,p-value
ABC,3.0,462.0,9.3132e-09
BA,465.0,0.0,1.8626e-09
BBO,24.0,441.0,1.4193e-06
FOX,138.0,327.0,5.2263e-02
GA,6.0,429.0,4.8009e-06
GWO,13.0,422.0,9.7817e-06
IFOX,14.0,421.0,1.0809e-05
LSHADE,0.0,435.0,2.5631e-06
PSO,12.0,453.0,1.3039e-07
