Function,Metric,ABC,BA,BBO,DO,FOX,GA,GWO,IFOX,LSHADE,PSO
Best Path Problem,Avg,6403461573.004137,10215559970.670143,6536380781.364428,7755954626.953008,7301312393.072863,6408731829.208423,6568967788.523472,6536550936.682683,6195881626.250812,6457135866.747722
Best Path Problem,Std,200120692.54161623,890096669.0844928,377683037.480568,808547001.6500072,720877084.6235422,385022688.2800205,417182542.50726724,413396312.4699912,182194078.54940778,346000333.49404657
Best Path Problem,Best,6132820471.57127,7922380872.1794815,6132820471.57127,6132820471.57127,6182820471.32127,6132820471.57127,6132820471.57127,6132820471.57127,6132820471.57127,6132820471.57127
Best Path Problem,Worst,6632820469.07127,11918333243.186111,7342820465.521269,9319999908.400003,8953333258.011114,7317820465.646269,7728333264.136112,7689999916.550002,6909655117.532581,7195161236.760928
Best Path Problem,BRT,'3/5/1,'0/0/9,'3/5/1,'1/1/7,'1/1/7,'3/5/1,'3/5/1,'3/5/1,'8/0/1,'3/5/1
Best Path Problem,Rank,2.0,10.0,5.0,9.0,8.0,3.0,7.0,6.0,1.0,4.0
Total,BRT,3/5/1,0/0/9,3/5/1,1/1/7,1/1/7,3/5/1,3/5/1,3/5/1,8/0/1,3/5/1
