versus,R+,R-,p-value
ABC,0.0,465.0,1.8626e-09
BBO,0.0,465.0,1.8626e-09
DO,0.0,465.0,1.8626e-09
FOX,0.0,465.0,1.8626e-09
GA,0.0,465.0,1.8626e-09
GWO,0.0,465.0,1.8626e-09
IFOX,0.0,465.0,1.8626e-09
LSHADE,0.0,465.0,1.8626e-09
PSO,0.0,465.0,1.8626e-09
