versus,R+,R-,p-value
ABC,168.5,131.5,5.9675e-01
BA,465.0,0.0,1.8626e-09
BBO,179.5,96.5,2.0674e-01
DO,429.0,6.0,4.8009e-06
FOX,450.0,15.0,2.5518e-07
GWO,216.0,109.0,1.4989e-01
IFOX,184.5,91.5,1.5677e-01
LSHADE,16.0,104.0,1.1823e-02
PSO,163.0,113.0,4.4606e-01
