trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19,trial_20,trial_21,trial_22,trial_23,trial_24,trial_25,trial_26,trial_27,trial_28,trial_29,trial_30
10574655099.207582,8994655107.107584,10428333250.636112,10809655098.032583,11099999899.500004,9014655107.007582,8286428516.527042,8779655108.18258,9454999907.725004,7589999917.050003,9993333252.811111,8659090829.018597,9212820456.17127,8734285648.675512,7897380872.3044815,7924999915.375002,9566428510.12704,11129655096.432583,7897380872.3044815,9473333255.411114,9628333254.636112,9809565134.884125,9479999907.600004,10483235227.341612,10783333248.861113,11759999913.2,9079999909.600004,10704999901.475004,11629999896.850004,10404999902.975004
8794655108.10758,8994655107.107584,10428333250.636112,9936428508.277042,11099999899.500004,9014655107.007582,8243333261.561114,8779655108.18258,9454999907.725004,7589999917.050003,9472380864.42948,8659090829.018597,9212820456.17127,8734285648.675512,7897380872.3044815,7924999915.375002,9566428510.12704,9869565134.584124,7897380872.3044815,9473333255.411114,9628333254.636112,9559999907.200003,9479999907.600004,9953333253.011112,10410740664.9559,10974999900.125002,9079999909.600004,9754999906.225004,9102380866.27948,10149999904.250004
8794655108.10758,8994655107.107584,10428333250.636112,9936428508.277042,11099999899.500004,8869999910.650003,8243333261.561114,8779655108.18258,9454999907.725004,7589999917.050003,9472380864.42948,8659090829.018597,9212820456.17127,8734285648.675512,7897380872.3044815,7924999915.375002,8899999927.500002,9869565134.584124,7897380872.3044815,8402820460.22127,8839999910.800003,8904655107.55758,9479999907.600004,9953333253.011112,9190161226.785927,10109655101.532581,9079999909.600004,9454999907.725004,8614565140.859123,10149999904.250004
8794655108.10758,7592820464.27127,10428333250.636112,9324999908.375004,11099999899.500004,8869999910.650003,6470161240.385927,8779655108.18258,9454999907.725004,7589999917.050003,9472380864.42948,8659090829.018597,8243235238.54161,8734285648.675512,7897380872.3044815,7594999917.0250025,8443333260.561113,9869565134.584124,7897380872.3044815,8402820460.22127,8664090828.993597,8904655107.55758,9479999907.600004,9734999906.325003,9190161226.785927,8074999914.625003,9079999909.600004,8214999913.925002,7237380875.604482,9899999905.500004
8794655108.10758,6682820468.821269,9692380863.329481,8394999913.025003,11099999899.500004,8869999910.650003,6470161240.385927,8779655108.18258,9454999907.725004,7589999917.050003,9472380864.42948,8659090829.018597,8243235238.54161,8734285648.675512,7897380872.3044815,7594999917.0250025,8443333260.561113,9869565134.584124,7869999915.6500025,8402820460.22127,8664090828.993597,8904655107.55758,9379999908.100004,9734999906.325003,9190161226.785927,8074999914.625003,9079999909.600004,8214999913.925002,7237380875.604482,8884999910.575003
8794655108.10758,6682820468.821269,9692380863.329481,7524999917.375002,11099999899.500004,8869999910.650003,6470161240.385927,7897380872.3044815,9454999907.725004,7589999917.050003,9472380864.42948,8659090829.018597,8243235238.54161,8609285649.300512,7897380872.3044815,7594999917.0250025,8443333260.561113,9388333255.836113,7589999917.050003,8402820460.22127,8664090828.993597,8904655107.55758,9379999908.100004,8863333258.461113,9190161226.785927,8074999914.625003,7194999919.0250025,8214999913.925002,7237380875.604482,8884999910.575003
8794655108.10758,6682820468.821269,9692380863.329481,7524999917.375002,10234999903.825003,8339285650.650512,6470161240.385927,7897380872.3044815,9454999907.725004,7589999917.050003,9472380864.42948,8659090829.018597,8243235238.54161,8609285649.300512,7897380872.3044815,7237380875.604482,6613235246.691609,9388333255.836113,7589999917.050003,8402820460.22127,8664090828.993597,7134655116.407581,9379999908.100004,8863333258.461113,8179999914.100003,7405161235.710928,7194999919.0250025,8214999913.925002,7237380875.604482,8884999910.575003
8794655108.10758,6682820468.821269,9692380863.329481,7524999917.375002,9839565134.734123,8339285650.650512,6470161240.385927,7897380872.3044815,9454999907.725004,7589999917.050003,9472380864.42948,8084999914.575003,8243235238.54161,8609285649.300512,7897380872.3044815,7237380875.604482,6613235246.691609,9323333256.161114,7589999917.050003,8402820460.22127,8664090828.993597,7134655116.407581,9379999908.100004,8863333258.461113,8179999914.100003,7405161235.710928,7194999919.0250025,8214999913.925002,7237380875.604482,8884999910.575003
8794655108.10758,6632820469.07127,9692380863.329481,7524999917.375002,8953333258.011114,8339285650.650512,6420161240.635927,7897380872.3044815,6989999920.050002,6909655117.532581,6682820468.821269,8084999914.575003,8243235238.54161,7342820465.521269,7897380872.3044815,7237380875.604482,6613235246.691609,9323333256.161114,7589999917.050003,8402820460.22127,8598333259.786114,7134655116.407581,8344999913.275003,7593333264.811113,8179999914.100003,7405161235.710928,7194999919.0250025,8214999913.925002,7237380875.604482,8884999910.575003
8059999914.700003,6632820469.07127,9692380863.329481,7524999917.375002,8953333258.011114,8339285650.650512,6357820470.44627,7897380872.3044815,6989999920.050002,6909655117.532581,6682820468.821269,8084999914.575003,8243235238.54161,7259285656.050512,7897380872.3044815,7237380875.604482,6613235246.691609,9323333256.161114,7589999917.050003,8167820461.39627,8203333261.761113,7134655116.407581,8154999914.225003,7593333264.811113,8179999914.100003,7117820466.646269,7194999919.0250025,8214999913.925002,7237380875.604482,8249999913.750003
