versus,R+,R-,p-value
ABC,,,N/A
BA,29.5,6.5,9.8677e-02
BBO,,,N/A
DO,16.0,5.0,2.3827e-01
GA,,,N/A
GWO,,,N/A
IFOX,,,N/A
LSHADE,,,N/A
PSO,1.5,1.5,1.0000e+00
