Function,Metric,ABC,BA,BBO,DO,FOX,GA,GWO,IFOX,LSHADE,PSO
Best Path Problem,Avg,5034999929.825002,5250444375.118151,5034999929.825002,5185999930.514447,5077333262.946669,5034999929.825002,5034999929.825002,5034999929.825002,5034999929.825002,5077333262.946669
Best Path Problem,Std,0.0,423705134.3303332,0.0,364918665.43568707,231869214.8511744,0.0,0.0,0.0,0.0,231869214.8511744
Best Path Problem,Best,5034999929.825002,5034999929.825002,5034999929.825002,5034999929.825002,5034999929.825002,5034999929.825002,5034999929.825002,5034999929.825002,5034999929.825002,5034999929.825002
Best Path Problem,Worst,5034999929.825002,6304999923.475002,5034999929.825002,6304999923.475002,6304999923.475002,5034999929.825002,5034999929.825002,5034999929.825002,5034999929.825002,6304999923.475002
Best Path Problem,BRT,'0/7/2,'0/3/6,'0/7/2,'0/3/6,'0/9/0,'0/7/2,'0/7/2,'0/7/2,'0/7/2,'0/9/0
Best Path Problem,Rank,1.0,10.0,1.0,9.0,7.0,1.0,1.0,1.0,1.0,7.0
Total,BRT,0/7/2,0/3/6,0/7/2,0/3/6,0/9/0,0/7/2,0/7/2,0/7/2,0/7/2,0/9/0
