,ABC,BA,BBO,DO,FOX,GA,GWO,IFOX,LSHADE,PSO
ABC,,7.5931e-03,,1.9217e-02,1.5866e-01,,,,,1.5866e-01
BA,,,9.9241e-01,7.1427e-01,9.5066e-01,9.9241e-01,9.9241e-01,9.9241e-01,9.9241e-01,9.5066e-01
BBO,,,,1.9217e-02,1.5866e-01,,,,,1.5866e-01
DO,,,,,8.8087e-01,9.8078e-01,9.8078e-01,9.8078e-01,9.8078e-01,9.6156e-01
FOX,,,,,,8.4134e-01,8.4134e-01,8.4134e-01,8.4134e-01,5.0000e-01
GA,,,,,,,,,,1.5866e-01
GWO,,,,,,,,,,1.5866e-01
IFOX,,,,,,,,,,1.5866e-01
LSHADE,,,,,,,,,,1.5866e-01
PSO,,,,,,,,,,
