versus,R+,R-,p-value
ABC,0.0,15.0,3.8434e-02
BA,46.0,32.0,5.7145e-01
BBO,0.0,15.0,3.8434e-02
FOX,5.0,16.0,2.3827e-01
GA,0.0,15.0,3.8434e-02
GWO,0.0,15.0,3.8434e-02
IFOX,0.0,15.0,3.8434e-02
LSHADE,0.0,15.0,3.8434e-02
PSO,1.0,14.0,7.6881e-02
