versus,R+,R-,p-value
ABC,0.0,28.0,1.5186e-02
BBO,0.0,28.0,1.5186e-02
DO,32.0,46.0,5.7145e-01
FOX,6.5,29.5,9.8677e-02
GA,0.0,28.0,1.5186e-02
GWO,0.0,28.0,1.5186e-02
IFOX,0.0,28.0,1.5186e-02
LSHADE,0.0,28.0,1.5186e-02
PSO,6.5,29.5,9.8677e-02
