versus,R+,R-,p-value
ABC,,,N/A
BA,29.5,6.5,9.8677e-02
BBO,,,N/A
DO,14.0,1.0,7.6881e-02
FOX,1.5,1.5,1.0000e+00
GA,,,N/A
GWO,,,N/A
IFOX,,,N/A
LSHADE,,,N/A
