versus,R+,R-,p-value
ABC,,,N/A
BA,28.0,0.0,1.5186e-02
BBO,,,N/A
DO,15.0,0.0,3.8434e-02
FOX,,,N/A
GA,,,N/A
GWO,,,N/A
IFOX,,,N/A
PSO,,,N/A
