Algorithm,Average ranking on functions
ABC,1.0 (1)
BBO,1.0 (1)
GA,1.0 (1)
GWO,1.0 (1)
IFOX,1.0 (1)
LSHADE,1.0 (1)
BA,10.0 (10)
FOX,7.0 (7)
PSO,7.0 (7)
DO,9.0 (9)
