versus,R+,R-,p-value
ABC,0.0,3.0,1.5730e-01
BBO,0.0,3.0,1.5730e-01
DO,0.0,3.0,1.5730e-01
FOX,0.0,3.0,1.5730e-01
GA,0.0,3.0,1.5730e-01
GWO,0.0,3.0,1.5730e-01
IFOX,0.0,3.0,1.5730e-01
LSHADE,0.0,3.0,1.5730e-01
PSO,0.0,3.0,1.5730e-01
