versus,R+,R-,p-value
BA,3.0,0.0,1.5730e-01
BBO,,,N/A
DO,,,N/A
FOX,,,N/A
GA,,,N/A
GWO,,,N/A
IFOX,,,N/A
LSHADE,,,N/A
PSO,,,N/A
