Function,Metric,ABC,BA,BBO,DO,FOX,GA,GWO,IFOX,LSHADE,PSO
Best Path Problem,Avg,4689655128.632582,4736503512.379042,4689655128.632582,4689655128.632582,4689655128.632582,4689655128.632582,4689655128.632582,4689655128.632582,4689655128.632582,4689655128.632582
Best Path Problem,Std,9.699776224434048e-07,178287238.70391572,9.699776224434048e-07,9.699776224434048e-07,9.699776224434048e-07,9.699776224434048e-07,9.699776224434048e-07,9.699776224434048e-07,9.699776224434048e-07,9.699776224434048e-07
Best Path Problem,Best,4689655128.632581,4689655128.632581,4689655128.632581,4689655128.632581,4689655128.632581,4689655128.632581,4689655128.632581,4689655128.632581,4689655128.632581,4689655128.632581
Best Path Problem,Worst,4689655128.632581,5392380884.829481,4689655128.632581,4689655128.632581,4689655128.632581,4689655128.632581,4689655128.632581,4689655128.632581,4689655128.632581,4689655128.632581
Best Path Problem,BRT,'0/9/0,'0/9/0,'0/9/0,'0/9/0,'0/9/0,'0/9/0,'0/9/0,'0/9/0,'0/9/0,'0/9/0
Best Path Problem,Rank,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Total,BRT,0/9/0,0/9/0,0/9/0,0/9/0,0/9/0,0/9/0,0/9/0,0/9/0,0/9/0,0/9/0
