,ABC,BA,BBO,DO,FOX,GA,GWO,IFOX,LSHADE,PSO
ABC,,1.5730e-01,,,,,,,,
BA,1.5730e-01,,1.5730e-01,1.5730e-01,1.5730e-01,1.5730e-01,1.5730e-01,1.5730e-01,1.5730e-01,1.5730e-01
BBO,,1.5730e-01,,,,,,,,
DO,,1.5730e-01,,,,,,,,
FOX,,1.5730e-01,,,,,,,,
GA,,1.5730e-01,,,,,,,,
GWO,,1.5730e-01,,,,,,,,
IFOX,,1.5730e-01,,,,,,,,
LSHADE,,1.5730e-01,,,,,,,,
PSO,,1.5730e-01,,,,,,,,
