,ABC,BA,BBO,DO,FOX,GA,GWO,IFOX,LSHADE,PSO
ABC,,7.8650e-02,,,,,,,,
BA,,,9.2135e-01,9.2135e-01,9.2135e-01,9.2135e-01,9.2135e-01,9.2135e-01,9.2135e-01,9.2135e-01
BBO,,,,,,,,,,
DO,,,,,,,,,,
FOX,,,,,,,,,,
GA,,,,,,,,,,
GWO,,,,,,,,,,
IFOX,,,,,,,,,,
LSHADE,,,,,,,,,,
PSO,,,,,,,,,,
