Algorithm,Average ranking on functions
ABC,1.0 (1)
BBO,1.0 (1)
DO,1.0 (1)
FOX,1.0 (1)
GA,1.0 (1)
GWO,1.0 (1)
IFOX,1.0 (1)
LSHADE,1.0 (1)
PSO,1.0 (1)
BA,10.0 (10)
