versus,R+,R-,p-value
ABC,,,N/A
BA,435.0,0.0,2.2567e-06
BBO,12.0,3.0,1.7971e-01
DO,101.0,4.0,1.9137e-03
FOX,18.5,2.5,8.4469e-02
GA,32.0,4.0,3.4808e-02
GWO,2.0,1.0,6.5472e-01
LSHADE,,,N/A
PSO,8.5,1.5,1.9365e-01
