versus,R+,R-,p-value
ABC,0.0,10.0,4.5500e-02
BA,458.5,6.5,2.9274e-06
DO,121.0,15.0,5.0002e-03
FOX,29.0,16.0,4.1741e-01
GA,44.0,22.0,2.8505e-01
GWO,1.0,9.0,1.3057e-01
IFOX,3.0,12.0,1.7971e-01
LSHADE,0.0,10.0,4.5500e-02
PSO,9.0,6.0,6.7885e-01
