versus,R+,R-,p-value
ABC,0.0,28.0,1.1412e-02
BA,378.0,0.0,5.1070e-06
BBO,22.0,44.0,2.8505e-01
DO,106.5,29.5,4.2732e-02
FOX,26.5,28.5,9.1564e-01
GWO,7.5,28.5,1.2361e-01
IFOX,4.0,32.0,3.4808e-02
LSHADE,0.0,28.0,1.1412e-02
PSO,22.0,33.0,5.5934e-01
