,ABC,BA,BBO,DO,FOX,GA,GWO,IFOX,LSHADE,PSO
ABC,,1.1122e-06,2.2750e-02,6.0914e-04,1.9680e-02,5.7060e-03,1.5866e-01,1.5866e-01,,5.1235e-02
BA,,,1.0000e+00,9.9995e-01,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00
BBO,,,,2.5001e-03,2.0871e-01,1.4252e-01,9.3471e-01,9.1014e-01,9.7725e-01,3.3942e-01
DO,,,,,9.5208e-01,9.7863e-01,9.9939e-01,9.9904e-01,9.9939e-01,9.9438e-01
FOX,,,,,,4.5782e-01,8.9895e-01,9.5777e-01,9.8032e-01,6.9101e-01
GA,,,,,,,9.3819e-01,9.8260e-01,9.9429e-01,7.2033e-01
GWO,,,,,,,,6.7264e-01,8.4134e-01,2.2485e-01
IFOX,,,,,,,,,8.4134e-01,9.6823e-02
LSHADE,,,,,,,,,,5.1235e-02
PSO,,,,,,,,,,
