Function,Metric,ABC,BA,BBO,DO,FOX,GA,GWO,IFOX,LSHADE,PSO
Best Path Problem,Avg,4427380889.65448,4615238038.089663,4438714222.931147,4489531684.422323,4452301525.256621,4450047556.207813,4433047556.292813,4430214222.973646,4427380889.65448,4441547556.250314
Best Path Problem,Std,0.0,106218458.00438255,29388401.66260789,84922027.66942763,68487834.70620699,44270588.85843331,31037611.43677146,15518805.718385816,0.0,45106833.36741076
Best Path Problem,Best,4427380889.65448,4427380889.65448,4427380889.65448,4427380889.65448,4427380889.65448,4427380889.65448,4427380889.65448,4427380889.65448,4427380889.65448,4427380889.65448
Best Path Problem,Worst,4427380889.65448,4827380887.65448,4512380889.229481,4749999959.843751,4749999959.843751,4597380888.804481,4597380888.804481,4512380889.229481,4427380889.65448,4597380888.804481
Best Path Problem,BRT,'1/4/4,'0/0/9,'1/5/3,'1/1/7,'1/6/2,'1/4/4,'1/7/1,'1/6/2,'1/4/4,'1/7/1
Best Path Problem,Rank,1.0,10.0,5.0,9.0,8.0,7.0,4.0,3.0,1.0,6.0
Total,BRT,1/4/4,0/0/9,1/5/3,1/1/7,1/6/2,1/4/4,1/7/1,1/6/2,1/4/4,1/7/1
