versus,R+,R-,p-value
ABC,0.0,91.0,1.2183e-03
BA,350.5,27.5,1.0001e-04
BBO,15.0,121.0,5.0002e-03
FOX,22.0,69.0,9.5843e-02
GA,29.5,106.5,4.2732e-02
GWO,0.0,91.0,1.2183e-03
IFOX,4.0,101.0,1.9137e-03
LSHADE,0.0,91.0,1.2183e-03
PSO,16.0,104.0,1.1243e-02
