versus,R+,R-,p-value
ABC,0.0,435.0,2.2243e-06
BBO,6.5,458.5,2.9274e-06
DO,27.5,350.5,1.0001e-04
FOX,0.0,378.0,4.9871e-06
GA,0.0,378.0,5.1070e-06
GWO,13.5,451.5,5.8196e-06
IFOX,0.0,435.0,2.2567e-06
LSHADE,0.0,435.0,2.2243e-06
PSO,2.0,433.0,2.8522e-06
