,ABC,BA,BBO,DO,FOX,GA,GWO,IFOX,LSHADE,PSO
ABC,,2.2243e-06,4.5500e-02,1.2183e-03,3.9360e-02,1.1412e-02,3.1731e-01,3.1731e-01,,1.0247e-01
BA,2.2243e-06,,2.9274e-06,1.0001e-04,4.9871e-06,5.1070e-06,5.8196e-06,2.2567e-06,2.2243e-06,2.8522e-06
BBO,4.5500e-02,2.9274e-06,,5.0002e-03,4.1741e-01,2.8505e-01,1.3057e-01,1.7971e-01,4.5500e-02,6.7885e-01
DO,1.2183e-03,1.0001e-04,5.0002e-03,,9.5843e-02,4.2732e-02,1.2183e-03,1.9137e-03,1.2183e-03,1.1243e-02
FOX,3.9360e-02,4.9871e-06,4.1741e-01,9.5843e-02,,9.1564e-01,2.0210e-01,8.4469e-02,3.9360e-02,6.1797e-01
GA,1.1412e-02,5.1070e-06,2.8505e-01,4.2732e-02,9.1564e-01,,1.2361e-01,3.4808e-02,1.1412e-02,5.5934e-01
GWO,3.1731e-01,5.8196e-06,1.3057e-01,1.2183e-03,2.0210e-01,1.2361e-01,,6.5472e-01,3.1731e-01,4.4969e-01
IFOX,3.1731e-01,2.2567e-06,1.7971e-01,1.9137e-03,8.4469e-02,3.4808e-02,6.5472e-01,,3.1731e-01,1.9365e-01
LSHADE,,2.2243e-06,4.5500e-02,1.2183e-03,3.9360e-02,1.1412e-02,3.1731e-01,3.1731e-01,,1.0247e-01
PSO,1.0247e-01,2.8522e-06,6.7885e-01,1.1243e-02,6.1797e-01,5.5934e-01,4.4969e-01,1.9365e-01,1.0247e-01,
