versus,R+,R-,p-value
ABC,0.0,15.0,3.9360e-02
BA,378.0,0.0,4.9871e-06
BBO,16.0,29.0,4.1741e-01
DO,69.0,22.0,9.5843e-02
GA,28.5,26.5,9.1564e-01
GWO,4.5,16.5,2.0210e-01
IFOX,2.5,18.5,8.4469e-02
LSHADE,0.0,15.0,3.9360e-02
PSO,14.5,21.5,6.1797e-01
