versus,R+,R-,p-value
ABC,,,N/A
BA,451.5,13.5,5.8196e-06
BBO,9.0,1.0,1.3057e-01
DO,91.0,0.0,1.2183e-03
FOX,16.5,4.5,2.0210e-01
GA,28.5,7.5,1.2361e-01
IFOX,1.0,2.0,6.5472e-01
LSHADE,,,N/A
PSO,7.0,3.0,4.4969e-01
