versus,R+,R-,p-value
ABC,,,N/A
BA,435.0,0.0,2.2243e-06
BBO,10.0,0.0,4.5500e-02
DO,91.0,0.0,1.2183e-03
FOX,15.0,0.0,3.9360e-02
GA,28.0,0.0,1.1412e-02
GWO,,,N/A
IFOX,,,N/A
PSO,6.0,0.0,1.0247e-01
